price,title,company_name,location
¥29000,成品知识付费音视频课程讲师分销源码系统二开在线教育系统,广东敢想科技-微信/APP开发,广州
¥1,健身管理，预定系统，电商系统，资讯系统,广州云动软件科技,广州
¥888,微信预约系统 照相馆预约 美业预约 健身预约 小程序预约,简约网,广州
¥50000,悠艺展厅集成中控系统开发,悠艺科技,广州
¥1000,OA系统开发办公自动化后台管理考勤移动客户端定制自动化平台,广州中杰科技,广州
¥6800,全球分红系统,母婴分销阁,广州
¥500,新 微商 线上线下微商运作 防伪防窜 代理商无库存压力 分销,iOS云控旺铺,广州
¥1800,经济型微信,了解科技-微信app开发,广州
¥50000,停车场管理,广州耀瑞网络科技有限公司,广州
¥30000,APP开发|购物商城|社交交友|在线教育|移动医疗,游控派信息科技有限公司,广州
¥1,【快递鸽收款】快递员收款APP，支持微信和支付宝扫码收款,梦森科技,广州
¥10000,【App开发】社交app 服务app 餐饮app,广州市鑫浪信息科技有限公司,广州
¥31000,建众赢商CRM，更懂家居建材的移动销售专家,建众赢商,广州
¥8000,【独立部署非saas版】微信小程序商城标准版，可升级分销商城,移动梦工场旗舰店,广州
¥19800,区块链定制开发|数字资产|钱包|交易平台|DAPP|智能合约,小当家ISV,广州
¥100000,手机直播平台源代码（Android+iOS+后台系统）,Chrispy,广州
¥20000,微信营销系统，全行业适用,曦胜科技,广州
¥888,批量查询高考成绩保存到excel,小木头软件,广州
¥100000,各种动效APP开发,wuchun_4,广州
¥36000,一体化移动办公OA  CRM人事财务项目管理APPsaas开发,微班信息,广州
¥300,Kimi连连看android源码商业游戏源码休闲娱乐游戏代,杨幂商城,广州
¥800,solidworks 定制服务,广州凯思,广州
¥79800,便利店app开发手机超市店铺连锁店社区电商类似闪电购爱鲜蜂,喜望软件-智慧出行软件供应商,广州
¥50000,明创合同管理文档管理ERP系统CRM客户管理系统协同OA办公,北京明创科技10年老店高新企业,广州
¥7800,微教育 小程序开发 微信二次开发微教育多校版搭建定制,缔邦科技,广州
¥20000,成品saas合同管理协同办公OA项目管理文档管理,云力通信科技-国家高新技术企业,广州
¥1800000,企业系统开发,集市达科技--AAA级信用企业,广州
¥2000,网页UI设计官网设计APPsaas界面设计,简意电商连锁品牌店,广州
¥1000,网站制作web前端二次开发网站维护商城网站前端定制开发,湖畔品牌策划机构,广州
¥600,D3电销系统，电话外呼系统，电销系统，下单出库物流一步到位,达梦D3电话外呼系统,广州
¥6000,活动在线管理,广州九尾狐,广州
¥19800,社区电商系统开发｜社交电商系统搭建｜会员制社交电商系统,青火互联科技,广州
¥139000,MT4白标搭建|金融CRM|返佣外汇交易|跟单|基金,广州链十方科技有限公司,广州
¥5999,Sharepoint Online文档管理,Sharepoint服务,广州
¥1,小程序汽车维修店美容店专用APP电脑,广州免费信息化建设服务,广州
¥1000,人脸识别系统 回头客 客流分析 门店saas商场saas超市零售行业,3N新零售平台,广州
¥50,金蝶erp系统问题解决，实施及开发,ecobanyan,广州
¥2000,视频会议系统SDKsaas在线会议saas云服务saasAPI,简会音视频会议系统,广州
¥5000,地图制作及优化,姓袁的那小子1,广州
